Value,Amplitude_Modulation,Frequency_Modulation
-96.187,1.034,-0.93
-97.833,1.028,-0.951
-99.074,1.023,-0.969
-99.909,1.017,-0.982
-100.34,1.011,-0.992
-100.369,1.006,-0.998
-100.0,1.0,-1.0
-99.24,0.994,-0.998
-98.096,0.989,-0.992
-96.577,0.983,-0.982
-94.693,0.977,-0.969
-92.456,0.972,-0.951
-89.879,0.966,-0.93
-86.977,0.96,-0.906
-83.765,0.955,-0.877
-80.259,0.949,-0.846
-76.478,0.944,-0.81
-72.438,0.938,-0.772
-68.16,0.932,-0.731
-63.664,0.927,-0.687
-58.97,0.921,-0.64
-54.099,0.916,-0.591
-49.074,0.91,-0.539
-43.915,0.905,-0.485
-38.645,0.899,-0.43
-33.287,0.894,-0.373
-27.863,0.888,-0.314
-22.396,0.883,-0.254
-16.907,0.877,-0.193
-11.419,0.872,-0.131
-5.953,0.866,-0.069
-0.532,0.861,-0.006
4.824,0.856,0.056
10.095,0.85,0.119
15.26,0.845,0.181
20.3,0.84,0.242
25.198,0.834,0.302
29.935,0.829,0.361
34.495,0.824,0.419
38.861,0.819,0.475
43.02,0.814,0.529
46.958,0.808,0.581
50.661,0.803,0.631
54.118,0.798,0.678
57.319,0.793,0.723
60.255,0.788,0.764
62.917,0.783,0.803
65.298,0.778,0.839
67.392,0.773,0.871
69.196,0.769,0.9
70.705,0.764,0.926
71.918,0.759,0.948
72.834,0.754,0.966
73.452,0.749,0.98
73.775,0.745,0.991
73.805,0.74,0.997
73.545,0.735,1.0
73.0,0.731,0.999
72.176,0.726,0.994
71.079,0.722,0.985
69.718,0.718,0.972
68.101,0.713,0.955
66.237,0.709,0.934
64.137,0.705,0.91
61.811,0.7,0.883
59.272,0.696,0.851
56.532,0.692,0.817
53.603,0.688,0.779
50.5,0.684,0.739
47.237,0.68,0.695
43.827,0.676,0.648
40.285,0.672,0.6
36.628,0.668,0.548
32.869,0.664,0.495
29.025,0.661,0.439
25.111,0.657,0.382
21.142,0.653,0.324
17.135,0.65,0.264
13.105,0.646,0.203
9.067,0.643,0.141
5.036,0.639,0.079
1.029,0.636,0.016
-2.941,0.633,-0.046
-6.859,0.629,-0.109
-10.711,0.626,-0.171
-14.483,0.623,-0.232
-18.162,0.62,-0.293
-21.736,0.617,-0.352
-25.191,0.614,-0.41
-28.517,0.611,-0.467
-31.702,0.608,-0.521
-34.736,0.606,-0.574
-37.609,0.603,-0.624
-40.312,0.6,-0.671
-42.837,0.598,-0.717
-45.176,0.595,-0.759
-47.322,0.593,-0.798
-49.269,0.59,-0.834
-51.012,0.588,-0.867
-52.545,0.586,-0.897
-53.866,0.584,-0.923
-54.97,0.582,-0.945
-55.855,0.58,-0.964
-56.521,0.578,-0.979
-56.965,0.576,-0.99
-57.189,0.574,-0.997
-57.192,0.572,-1.0
-56.977,0.57,-0.999
-56.544,0.569,-0.994
-55.898,0.567,-0.986
-55.042,0.566,-0.973
-53.98,0.564,-0.957
-52.717,0.563,-0.937
-51.259,0.561,-0.913
-49.611,0.56,-0.886
-47.781,0.559,-0.855
-45.776,0.558,-0.82
-43.604,0.557,-0.783
-41.273,0.556,-0.742
-38.792,0.555,-0.699
-36.171,0.554,-0.653
-33.419,0.554,-0.604
-30.546,0.553,-0.552
-27.564,0.552,-0.499
-24.482,0.552,-0.444
-21.312,0.551,-0.387
-18.066,0.551,-0.328
-14.754,0.551,-0.268
-11.39,0.55,-0.207
-7.985,0.55,-0.145
-4.551,0.55,-0.083
-1.1,0.55,-0.02
2.355,0.55,0.043
5.803,0.55,0.105
9.23,0.55,0.168
12.624,0.551,0.229
15.974,0.551,0.29
19.268,0.551,0.35
22.493,0.552,0.408
25.638,0.552,0.464
28.691,0.553,0.519
31.642,0.554,0.572
34.479,0.554,0.622
37.192,0.555,0.67
39.771,0.556,0.715
42.206,0.557,0.758
44.488,0.558,0.797
46.607,0.559,0.834
48.556,0.56,0.867
50.327,0.561,0.896
51.912,0.563,0.922
53.305,0.564,0.945
54.499,0.566,0.964
55.49,0.567,0.979
56.271,0.569,0.99
56.84,0.57,0.997
57.192,0.572,1.0
57.325,0.574,0.999
57.237,0.576,0.994
56.927,0.578,0.986
56.394,0.58,0.973
55.638,0.582,0.957
54.661,0.584,0.936
53.464,0.586,0.913
52.049,0.588,0.885
50.421,0.59,0.854
48.583,0.593,0.82
46.541,0.595,0.782
44.3,0.598,0.741
41.867,0.6,0.697
39.248,0.603,0.651
36.453,0.606,0.602
33.49,0.608,0.55
30.367,0.611,0.497
27.097,0.614,0.441
23.688,0.617,0.384
20.154,0.62,0.325
16.505,0.623,0.265
12.755,0.626,0.204
8.916,0.629,0.142
5.003,0.633,0.079
1.029,0.636,0.016
-2.991,0.639,-0.047
-7.042,0.643,-0.11
-11.108,0.646,-0.172
-15.176,0.65,-0.234
-19.227,0.653,-0.294
-23.248,0.657,-0.354
-27.222,0.661,-0.412
-31.132,0.664,-0.469
-34.964,0.668,-0.523
-38.7,0.672,-0.576
-42.326,0.676,-0.626
-45.826,0.68,-0.674
-49.185,0.684,-0.719
-52.387,0.688,-0.762
-55.418,0.692,-0.801
-58.265,0.696,-0.837
-60.912,0.7,-0.87
-63.349,0.705,-0.899
-65.562,0.709,-0.925
-67.539,0.713,-0.947
-69.27,0.718,-0.965
-70.745,0.722,-0.98
-71.954,0.726,-0.991
-72.89,0.731,-0.997
-73.545,0.735,-1.0
-73.912,0.74,-0.999
-73.987,0.745,-0.993
-73.765,0.749,-0.984
-73.244,0.754,-0.971
-72.421,0.759,-0.954
-71.296,0.764,-0.934
-69.869,0.769,-0.909
-68.143,0.773,-0.881
-66.119,0.778,-0.85
-63.804,0.783,-0.815
-61.201,0.788,-0.776
-58.318,0.793,-0.735
-55.162,0.798,-0.691
-51.743,0.803,-0.644
-48.072,0.808,-0.595
-44.159,0.814,-0.543
-40.018,0.819,-0.489
-35.662,0.824,-0.433
-31.106,0.829,-0.375
-26.366,0.834,-0.316
-21.46,0.84,-0.256
-16.404,0.845,-0.194
-11.217,0.85,-0.132
-5.92,0.856,-0.069
-0.532,0.861,-0.006
4.926,0.866,0.057
10.433,0.872,0.12
15.966,0.877,0.182
21.504,0.883,0.244
27.023,0.888,0.304
32.501,0.894,0.364
37.916,0.899,0.422
43.243,0.905,0.478
48.46,0.91,0.532
53.544,0.916,0.585
58.473,0.921,0.635
63.225,0.927,0.682
67.777,0.932,0.727
72.109,0.938,0.769
76.2,0.944,0.808
80.03,0.949,0.843
83.581,0.955,0.875
86.834,0.96,0.904
89.772,0.966,0.929
92.381,0.972,0.951
94.644,0.977,0.968
96.549,0.983,0.982
98.083,0.989,0.992
99.237,0.994,0.998
100.0,1.0,1.0
100.365,1.006,0.998
100.327,1.011,0.992
99.88,1.017,0.982
99.023,1.023,0.968
97.753,1.028,0.951
96.072,1.034,0.929
93.982,1.04,0.904
91.487,1.045,0.875
88.593,1.051,0.843
85.309,1.056,0.808
81.642,1.062,0.769
77.605,1.068,0.727
73.21,1.073,0.682
68.471,1.079,0.635
63.406,1.084,0.585
58.03,1.09,0.532
52.364,1.095,0.478
46.428,1.101,0.422
40.243,1.106,0.364
33.834,1.112,0.304
27.223,1.117,0.244
20.437,1.123,0.182
13.503,1.128,0.12
6.446,1.134,0.057
-0.704,1.139,-0.006
-7.919,1.144,-0.069
-15.169,1.15,-0.132
-22.426,1.155,-0.194
-29.658,1.16,-0.256
-36.836,1.166,-0.316
-43.929,1.171,-0.375
-50.908,1.176,-0.433
-57.742,1.181,-0.489
-64.402,1.186,-0.543
-70.859,1.192,-0.595
-77.084,1.197,-0.644
-83.049,1.202,-0.691
-88.728,1.207,-0.735
-94.095,1.212,-0.776
-99.125,1.217,-0.815
-103.794,1.222,-0.85
-108.08,1.227,-0.881
-111.963,1.231,-0.909
-115.423,1.236,-0.934
-118.442,1.241,-0.954
-121.005,1.246,-0.971
-123.098,1.251,-0.984
-124.708,1.255,-0.993
-125.825,1.26,-0.999
-126.442,1.265,-1.0
-126.551,1.269,-0.997
-126.149,1.274,-0.991
-125.234,1.278,-0.98
-123.807,1.282,-0.965
-121.869,1.287,-0.947
-119.425,1.291,-0.925
-116.483,1.295,-0.899
-113.05,1.3,-0.87
-109.138,1.304,-0.837
-104.761,1.308,-0.801
-99.932,1.312,-0.762
-94.671,1.316,-0.719
-88.995,1.32,-0.674
-82.925,1.324,-0.626
-76.485,1.328,-0.576
-69.699,1.332,-0.523
-62.593,1.336,-0.469
-55.195,1.339,-0.412
-47.533,1.343,-0.354
-39.638,1.347,-0.294
-31.541,1.35,-0.234
-23.274,1.354,-0.172
-14.871,1.357,-0.11
-6.366,1.361,-0.047
2.207,1.364,0.016
10.812,1.367,0.079
19.415,1.371,0.142
27.98,1.374,0.204
36.471,1.377,0.265
44.853,1.38,0.325
53.091,1.383,0.384
61.15,1.386,0.441
68.997,1.389,0.497
76.598,1.392,0.55
83.921,1.394,0.602
90.936,1.397,0.651
97.611,1.4,0.697
103.918,1.402,0.741
109.83,1.405,0.782
115.321,1.407,0.82
120.367,1.41,0.854
124.946,1.412,0.885
129.038,1.414,0.913
132.625,1.416,0.936
135.689,1.418,0.957
138.218,1.42,0.973
140.199,1.422,0.986
141.623,1.424,0.994
142.482,1.426,0.999
142.772,1.428,1.0
142.489,1.43,0.997
141.635,1.431,0.99
140.211,1.433,0.979
138.221,1.434,0.964
135.674,1.436,0.945
132.577,1.437,0.922
128.944,1.439,0.896
124.788,1.44,0.867
120.126,1.441,0.834
114.975,1.442,0.797
109.357,1.443,0.758
103.293,1.444,0.715
96.808,1.445,0.67
89.928,1.446,0.622
82.682,1.446,0.572
75.098,1.447,0.519
67.207,1.448,0.464
59.041,1.448,0.408
50.634,1.449,0.35
42.02,1.449,0.29
33.235,1.449,0.229
24.313,1.45,0.168
15.292,1.45,0.105
6.209,1.45,0.043
-2.9,1.45,-0.02
-11.996,1.45,-0.083
-21.044,1.45,-0.145
-30.005,1.45,-0.207
-38.843,1.449,-0.268
-47.522,1.449,-0.328
-56.007,1.449,-0.387
-64.262,1.448,-0.444
-72.255,1.448,-0.499
-79.953,1.447,-0.552
-87.325,1.446,-0.604
-94.341,1.446,-0.653
-100.973,1.445,-0.699
-107.194,1.444,-0.742
-112.979,1.443,-0.783
-118.305,1.442,-0.82
-123.152,1.441,-0.855
-127.5,1.44,-0.886
-131.332,1.439,-0.913
-134.634,1.437,-0.937
-137.392,1.436,-0.957
-139.598,1.434,-0.973
-141.244,1.433,-0.986
-142.323,1.431,-0.994
-142.832,1.43,-0.999
-142.772,1.428,-1.0
-142.143,1.426,-0.997
