Time,Value
0.0,100.0
0.02,101.094
0.04,99.897
0.06,96.336
0.08,90.399
0.1,82.144
0.12,71.7
0.14,59.265
0.16,45.1
0.18,29.527
0.2,12.916
0.22,-4.327
0.24,-21.771
0.26,-38.975
0.28,-55.505
0.3,-70.945
0.32,-84.914
0.34,-97.077
0.36,-107.153
0.38,-114.928
0.4,-120.256
0.42,-123.065
0.44,-123.352
0.46,-121.185
0.48,-116.695
0.5,-110.071
0.52,-101.546
0.54,-91.394
0.56,-79.912
0.58,-67.415
0.6,-54.22
0.62,-40.64
0.64,-26.974
0.66,-13.498
0.68,-0.458
0.7,11.931
0.72,23.491
0.74,34.081
0.76,43.596
0.78,51.969
0.8,59.166
0.82,65.18
0.84,70.031
0.86,73.762
0.88,76.429
0.9,78.102
0.92,78.856
0.94,78.771
0.96,77.927
0.98,76.399
1.0,74.257
1.02,71.564
1.04,68.375
1.06,64.735
1.08,60.681
1.1,56.243
1.12,51.442
1.14,46.293
1.16,40.81
1.18,35.0
1.2,28.872
1.22,22.435
1.24,15.697
1.26,8.675
1.28,1.386
1.3,-6.146
1.32,-13.89
1.34,-21.808
1.36,-29.857
1.38,-37.985
1.4,-46.135
1.42,-54.242
1.44,-62.239
1.46,-70.051
1.48,-77.602
1.5,-84.813
1.52,-91.606
1.54,-97.901
1.56,-103.621
1.58,-108.694
1.6,-113.05
1.62,-116.628
1.64,-119.371
1.66,-121.233
1.68,-122.176
1.7,-122.173
1.72,-121.207
1.74,-119.274
1.76,-116.38
1.78,-112.545
1.8,-107.798
1.82,-102.183
1.84,-95.754
1.86,-88.574
1.88,-80.717
1.9,-72.267
1.92,-63.313
1.94,-53.952
1.96,-44.285
1.98,-34.417
2.0,-24.453
2.02,-14.498
2.04,-4.657
2.06,4.97
2.08,14.289
2.1,23.21
2.12,31.653
2.14,39.546
2.16,46.827
2.18,53.442
2.2,59.351
2.22,64.522
2.24,68.933
2.26,72.572
2.28,75.436
2.3,77.527
2.32,78.854
2.34,79.431
2.36,79.271
2.38,78.393
2.4,76.811
2.42,74.54
2.44,71.592
2.46,67.974
2.48,63.692
2.5,58.75
2.52,53.147
2.54,46.887
2.56,39.974
2.58,32.418
2.6,24.236
2.62,15.46
2.64,6.135
2.66,-3.673
2.68,-13.88
2.7,-24.374
2.72,-35.021
2.74,-45.658
2.76,-56.1
2.78,-66.138
2.8,-75.545
2.82,-84.079
2.84,-91.493
2.86,-97.542
2.88,-101.989
2.9,-104.62
2.92,-105.25
2.94,-103.734
2.96,-99.977
2.98,-93.94
3.0,-85.649
3.02,-75.197
3.04,-62.746
3.06,-48.529
3.08,-32.839
3.1,-16.03
3.12,1.498
3.14,19.307
3.16,36.941
3.18,53.933
3.2,69.828
3.22,84.198
3.24,96.654
3.26,106.865
3.28,114.564
3.3,119.564
3.32,121.759
3.34,121.129
3.36,117.74
3.38,111.739
3.4,103.345
3.42,92.842
3.44,80.568
3.46,66.896
3.48,52.224
3.5,36.959
3.52,21.502
3.54,6.236
3.56,-8.487
3.58,-22.353
3.6,-35.096
3.62,-46.5
3.64,-56.401
3.66,-64.689
3.68,-71.304
3.7,-76.231
3.72,-79.495
3.74,-81.156
3.76,-81.298
3.78,-80.026
3.8,-77.46
3.82,-73.723
3.84,-68.942
3.86,-63.241
3.88,-56.737
3.9,-49.544
3.92,-41.763
3.94,-33.49
3.96,-24.814
3.98,-15.82
4.0,-6.587
4.02,2.805
4.04,12.278
4.06,21.749
4.08,31.134
4.1,40.342
4.12,49.282
4.14,57.855
4.16,65.96
4.18,73.498
4.2,80.365
4.22,86.463
4.24,91.698
4.26,95.985
4.28,99.246
4.3,101.417
4.32,102.448
4.34,102.304
4.36,100.97
4.38,98.445
4.4,94.75
4.42,89.921
4.44,84.015
4.46,77.102
4.48,69.272
4.5,60.625
4.52,51.272
4.54,41.337
4.56,30.947
4.58,20.237
4.6,9.34
4.62,-1.608
4.64,-12.475
4.66,-23.134
4.68,-33.467
4.7,-43.36
4.72,-52.713
4.74,-61.436
4.76,-69.453
4.78,-76.698
4.8,-83.12
4.82,-88.683
4.84,-93.362
4.86,-97.146
4.88,-100.036
4.9,-102.046
4.92,-103.198
4.94,-103.525
4.96,-103.069
4.98,-101.876
5.0,-100.0
5.02,-97.497
5.04,-94.427
5.06,-90.85
5.08,-86.825
5.1,-82.411
5.12,-77.663
5.14,-72.631
5.16,-67.362
5.18,-61.897
5.2,-56.27
5.22,-50.508
5.24,-44.634
5.26,-38.662
5.28,-32.601
5.3,-26.455
5.32,-20.223
5.34,-13.902
5.36,-7.485
5.38,-0.967
5.4,5.657
5.42,12.39
5.44,19.227
5.46,26.16
5.48,33.169
5.5,40.227
5.52,47.292
5.54,54.313
5.56,61.223
5.58,67.943
5.6,74.38
5.62,80.428
5.64,85.971
5.66,90.882
5.68,95.031
5.7,98.282
5.72,100.501
5.74,101.558
5.76,101.336
5.78,99.73
5.8,96.656
5.82,92.055
5.84,85.899
5.86,78.19
5.88,68.971
5.9,58.323
5.92,46.368
5.94,33.269
5.96,19.227
5.98,4.482
6.0,-10.697
6.02,-26.012
6.04,-41.148
6.06,-55.779
6.08,-69.578
6.1,-82.226
6.12,-93.425
6.14,-102.902
6.16,-110.424
6.18,-115.805
6.2,-118.91
6.22,-119.665
6.24,-118.054
6.26,-114.126
6.28,-107.99
6.3,-99.814
6.32,-89.816
6.34,-78.262
6.36,-65.45
6.38,-51.705
6.4,-37.366
6.42,-22.778
6.44,-8.276
6.46,5.821
6.48,19.219
6.5,31.658
6.52,42.916
6.54,52.81
6.56,61.203
6.58,67.998
6.6,73.141
6.62,76.614
6.64,78.43
6.66,78.631
6.68,77.281
6.7,74.463
6.72,70.272
6.74,64.81
6.76,58.19
6.78,50.527
6.8,41.941
6.82,32.556
6.84,22.502
6.86,11.915
6.88,0.94
6.9,-10.269
6.92,-21.546
6.94,-32.717
6.96,-43.596
6.98,-53.991
7.0,-63.702
7.02,-72.53
7.04,-80.278
7.06,-86.76
7.08,-91.804
7.1,-95.257
7.12,-96.996
7.14,-96.931
7.16,-95.005
7.18,-91.206
7.2,-85.561
7.22,-78.143
7.24,-69.067
7.26,-58.487
7.28,-46.596
7.3,-33.616
7.32,-19.796
7.34,-5.404
7.36,9.282
7.38,23.978
7.4,38.406
7.42,52.299
7.44,65.407
7.46,77.505
7.48,88.396
7.5,97.916
7.52,105.935
7.54,112.362
7.56,117.142
7.58,120.256
7.6,121.72
7.62,121.584
7.64,119.924
7.66,116.842
7.68,112.461
7.7,106.92
7.72,100.368
7.74,92.963
7.76,84.866
7.78,76.233
7.8,67.22
7.82,57.972
7.84,48.624
7.86,39.299
7.88,30.104
7.9,21.133
7.92,12.463
7.94,4.157
7.96,-3.74
7.98,-11.194
8.0,-18.187
8.02,-24.711
8.04,-30.77
8.06,-36.373
8.08,-41.54
8.1,-46.293
8.12,-50.657
8.14,-54.66
8.16,-58.326
8.18,-61.682
8.2,-64.747
8.22,-67.538
8.24,-70.066
8.26,-72.336
8.28,-74.346
8.3,-76.088
8.32,-77.546
8.34,-78.698
8.36,-79.516
8.38,-79.966
8.4,-80.01
8.42,-79.608
8.44,-78.714
8.46,-77.285
8.48,-75.277
8.5,-72.649
8.52,-69.362
8.54,-65.385
8.56,-60.695
8.58,-55.274
8.6,-49.12
8.62,-42.237
8.64,-34.647
8.66,-26.384
8.68,-17.496
8.7,-8.047
8.72,1.882
8.74,12.199
8.76,22.795
8.78,33.547
8.8,44.322
8.82,54.979
8.84,65.365
8.86,75.326
8.88,84.704
8.9,93.345
8.92,101.097
8.94,107.819
8.96,113.381
8.98,117.667
9.0,120.583
9.02,122.055
9.04,122.033
9.06,120.494
9.08,117.443
9.1,112.912
9.12,106.965
9.14,99.689
9.16,91.2
9.18,81.637
9.2,71.16
9.22,59.944
9.24,48.178
9.26,36.06
9.28,23.788
9.3,11.563
9.32,-0.424
9.34,-11.991
9.36,-22.967
9.38,-33.202
9.4,-42.563
9.42,-50.938
9.44,-58.234
9.46,-64.381
9.48,-69.326
9.5,-73.037
9.52,-75.494
9.54,-76.692
9.56,-76.638
9.58,-75.346
9.6,-72.838
9.62,-69.143
9.64,-64.294
9.66,-58.334
9.68,-51.311
9.7,-43.285
9.72,-34.327
9.74,-24.527
9.76,-13.991
9.78,-2.849
9.8,8.744
9.82,20.609
9.84,32.541
9.86,44.309
9.88,55.664
9.9,66.339
9.92,76.057
9.94,84.541
9.96,91.522
9.98,96.749
10.0,100.0
10.02,101.094
10.04,99.897
10.06,96.336
10.08,90.399
10.1,82.144
10.12,71.7
10.14,59.265
10.16,45.1
10.18,29.527
10.2,12.916
10.22,-4.327
10.24,-21.771
10.26,-38.975
10.28,-55.505
10.3,-70.945
