Time,Value
7.52,-73.041
7.54,-82.988
7.56,-91.873
7.58,-99.448
7.6,-105.474
7.62,-109.731
7.64,-112.025
7.66,-112.191
7.68,-110.108
7.7,-105.7
7.72,-98.946
7.74,-89.882
7.76,-78.606
7.78,-65.278
7.8,-50.125
7.82,-33.433
7.84,-15.543
7.86,3.15
7.88,22.213
7.9,41.181
7.92,59.572
7.94,76.898
7.96,92.684
7.98,106.481
8.0,117.878
8.02,126.525
8.04,132.136
8.06,134.507
8.08,133.525
8.1,129.168
8.12,121.517
8.14,110.747
8.16,97.129
8.18,81.02
8.2,62.853
8.22,43.124
8.24,22.378
8.26,1.188
8.28,-19.86
8.3,-40.189
8.32,-59.246
8.34,-76.524
8.36,-91.574
8.38,-104.019
8.4,-113.567
8.42,-120.018
8.44,-123.266
8.46,-123.301
8.48,-120.209
8.5,-114.16
8.52,-105.406
8.54,-94.267
8.56,-81.118
8.58,-66.374
8.6,-50.479
8.62,-33.886
8.64,-17.046
8.66,-0.396
8.68,15.659
8.7,30.751
8.72,44.558
8.74,56.814
8.76,67.306
8.78,75.884
8.8,82.454
8.82,86.979
8.84,89.476
8.86,90.009
8.88,88.683
8.9,85.64
8.92,81.049
8.94,75.099
8.96,67.996
8.98,59.95
9.0,51.173
9.02,41.874
9.04,32.253
9.06,22.497
9.08,12.777
9.1,3.25
9.12,-5.95
9.14,-14.704
9.16,-22.915
9.18,-30.502
9.2,-37.403
9.22,-43.572
9.24,-48.975
9.26,-53.594
9.28,-57.42
9.3,-60.454
9.32,-62.703
9.34,-64.183
9.36,-64.912
9.38,-64.914
9.4,-64.214
9.42,-62.84
9.44,-60.821
9.46,-58.187
9.48,-54.968
9.5,-51.197
9.52,-46.904
9.54,-42.123
9.56,-36.887
9.58,-31.233
9.6,-25.195
9.62,-18.812
9.64,-12.126
9.66,-5.177
9.68,1.988
9.7,9.322
9.72,16.775
9.74,24.294
9.76,31.823
9.78,39.303
9.8,46.673
9.82,53.87
9.84,60.829
9.86,67.484
9.88,73.766
9.9,79.608
9.92,84.941
9.94,89.698
9.96,93.812
9.98,97.22
10.0,99.862
10.02,101.68
10.04,102.622
10.06,102.642
10.08,101.701
10.1,99.766
10.12,96.814
10.14,92.831
10.16,87.815
10.18,81.772
10.2,74.724
10.22,66.704
10.24,57.757
10.26,47.945
10.28,37.342
10.3,26.037
10.32,14.133
10.34,1.747
10.36,-10.991
10.38,-23.937
10.4,-36.939
10.42,-49.832
10.44,-62.445
10.46,-74.6
10.48,-86.118
10.5,-96.817
10.52,-106.519
10.54,-115.049
10.56,-122.246
10.58,-127.958
10.6,-132.05
10.62,-134.409
10.64,-134.944
10.66,-133.592
10.68,-130.318
10.7,-125.124
10.72,-118.041
10.74,-109.142
10.76,-98.534
10.78,-86.359
10.8,-72.799
10.82,-58.066
10.84,-42.406
10.86,-26.09
10.88,-9.411
10.9,7.32
10.92,23.783
10.94,39.657
10.96,54.624
10.98,68.377
11.0,80.634
11.02,91.138
11.04,99.668
